id,url,title,duration,timestamp,tabs,thumbnail,source_name,usage_rights,reuse_policy
VpNavkcvJ9s,https://www.youtube.com/watch?v=VpNavkcvJ9s,Cementerio de MG en la colonia portales CDMX.,62.0,,videos,https://i.ytimg.com/vi/VpNavkcvJ9s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA5Kt_zIoRzVl8KcAXNkmV2msTz_A,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
Ktmg0nITjS0,https://www.youtube.com/watch?v=Ktmg0nITjS0,"263. Geely Coolray, Lexus, Rav 4 PHEV, BYD Yuan Pro PHEV",6626.0,,videos,https://i.ytimg.com/vi/Ktmg0nITjS0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLDGtuHT8820ja7QejHWAuhWrln0mg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
flt6Q2Wq4Is,https://www.youtube.com/watch?v=flt6Q2Wq4Is,Peugeot Partner Rapid 2026 | PruebameLa... Nave #242,1192.0,,videos,https://i.ytimg.com/vi/flt6Q2Wq4Is/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUV4Ix9Wmf_LQLttG1nVNDN4Yqdg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
dRjce5H1_R8,https://www.youtube.com/watch?v=dRjce5H1_R8,¿Vale la pena el Mini Cooper S Eléctrico? | PruebameLa... Nave #241,3123.0,,videos,https://i.ytimg.com/vi/dRjce5H1_R8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLARL1mYrdrUjuz5jrjz0zcKvd3Zxw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
W_meT9aE3Zw,https://www.youtube.com/watch?v=W_meT9aE3Zw,"262. Jetour T2 IDM, Mini Cooper S Eléctrico, Peugeot Partner Rapid",10903.0,,videos,https://i.ytimg.com/vi/W_meT9aE3Zw/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLBlJ3mQWklBG8kIXdGUa75HwIbDAA,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
Rvkhb1SnPRw,https://www.youtube.com/watch?v=Rvkhb1SnPRw,400 km de autonomía y modo Go-Kart: ¿Es el mejor eléctrico para ciudad? | Reseña rapida.,248.0,,videos,https://i.ytimg.com/vi/Rvkhb1SnPRw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBoJwW0svm4Lde1Bm7_P0O61f632g,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
E5vGmyP2jDY,https://www.youtube.com/watch?v=E5vGmyP2jDY,La camioneta de trabajo MÁS BARATA para potenciar tu negocio (Peugeot Partner).,261.0,,videos,https://i.ytimg.com/vi/E5vGmyP2jDY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOIhoKtj7g3TXJPSL_N5l75mKyUg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
OOaE-Y2TLXY,https://www.youtube.com/watch?v=OOaE-Y2TLXY,Extorsion fallida en CDMX a manos de la policia preventiva sobre insurgentes norte.,341.0,,videos,https://i.ytimg.com/vi/OOaE-Y2TLXY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQLTtFq9oGIRer7Ca7XeWu53ZGKg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
PAJILiZKzjE,https://www.youtube.com/watch?v=PAJILiZKzjE,"261. Tesla Model Y, Autoshow de Nueva York, Chrysler Pacifica 2027",10977.0,,videos,https://i.ytimg.com/vi/PAJILiZKzjE/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLAjMyUWldlzRYzJMxeAGWRPZUYVhg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
BKEqOajB8_s,https://www.youtube.com/watch?v=BKEqOajB8_s,Tesla Model Y Standard 2026 | PruebameLa... Nave #240,2333.0,,videos,https://i.ytimg.com/vi/BKEqOajB8_s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCO1JK_fC6zbqfCGZ974Am7Ls8hzg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
Yzusys5Suqc,https://www.youtube.com/watch?v=Yzusys5Suqc,NO compres el Tesla Model Y 2026 sin ver ESTO primero.,288.0,,videos,https://i.ytimg.com/vi/Yzusys5Suqc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3NSTSFMLYBYgUEBKSONBgxP3Fnw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
ztEPTdnWLd0,https://www.youtube.com/watch?v=ztEPTdnWLd0,"260. El Pizarrón del Mago, Renault, Geely Monjaro y la llegada de Xpeng a México",8643.0,,videos,https://i.ytimg.com/vi/ztEPTdnWLd0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLAmwHzBZm1uaWh8ueDyGP8h01M4eQ,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
ZePkBULMkgA,https://www.youtube.com/watch?v=ZePkBULMkgA,"La historia de mi Yaris Gacho y Rascuacho, Parte 2 | Fraudeame la nave #139",4396.0,,videos,https://i.ytimg.com/vi/ZePkBULMkgA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhfOcJJ7R_Q9cLPa_LOm2XsI74ug,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
frrLrD8EnOI,https://www.youtube.com/watch?v=frrLrD8EnOI,"La historia de mi Yaris Gacho y Rascuacho, Parte 1 | Fraudeame la nave #139",1616.0,,videos,https://i.ytimg.com/vi/frrLrD8EnOI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVyt4PR8WExLI07-xtfVuI9klkYg,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
TAL64zv3kbw,https://www.youtube.com/watch?v=TAL64zv3kbw,"259. Accent, Denza México, Honda Prelude 2026, JMC",7519.0,,videos,https://i.ytimg.com/vi/TAL64zv3kbw/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLBoDYS-QOH26tsMme-jl5VsujOPqw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
kyNq13gc75E,https://www.youtube.com/watch?v=kyNq13gc75E,"Multiverso, multivictimas Ft. @mrdoctor  | Fraudeame la nave #138",5999.0,,videos,https://i.ytimg.com/vi/kyNq13gc75E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXjoKdIssOq01PMXjojq6px1DP1Q,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
okCtOTMqQKk,https://www.youtube.com/watch?v=okCtOTMqQKk,"258. CS55+, Alsvin+, CS35 Max, CS75+, BYD M9 y Dongfeng Box",11324.0,,videos,https://i.ytimg.com/vi/okCtOTMqQKk/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLD9sZFktVd5m4YEVquBazkLw3DhkA,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
uObIXwWioJE,https://www.youtube.com/watch?v=uObIXwWioJE,"257.  Sentra y Versa 2026, Volvo ex30 cc, Ford Edge Hybrid, Rav4 2026",8110.0,,videos,https://i.ytimg.com/vi/uObIXwWioJE/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAArgIigIMCAAQARhBIFsocjAP&rs=AOn4CLCiUCSPx9Z0uodcyiKIifbDOvYPsw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
ibf0mcFij7c,https://www.youtube.com/watch?v=ibf0mcFij7c,"De proveedor a víctima, nadie se salva, nadie responde Parte 2 | Fraudeame la Nave #137",4114.0,,videos,https://i.ytimg.com/vi/ibf0mcFij7c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAetNSchhmTXK2OcLPHxgyMOk2Avw,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
wpuKSR_qQxM,https://www.youtube.com/watch?v=wpuKSR_qQxM,"Pick up con pantallota, sin bolsas de aire = lesion de por vida Parte 2 | Fraudeame la Nave #136",3708.0,,videos,https://i.ytimg.com/vi/wpuKSR_qQxM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbsMX9sxi-RTIA3sRmupe01PGjZQ,Autoboutique 1/4 de Milla,external-reference,embed_link_and_summarize_only
