source_video_id,source_channel,source_title,source_url,claim_count,raw_transcript_stored,extraction_provider
ubnd7gHVK-c,Autoboutique 1/4 de Milla,Renault Duster Oroch | PruebameLa... Nave #63 | Reseña,https://www.youtube.com/watch?v=ubnd7gHVK-c,1,False,local
FjY4LGAf9Jk,CarsLatino,Mi Nuevo Auto a Detalle!! (Version COMPLETA) (Prueba de Manejo Mazda 3 S GT 2017) *CarsLatino*,https://www.youtube.com/watch?v=FjY4LGAf9Jk,1,False,local
vWr-5fVzYNY,Autoboutique 1/4 de Milla,Renault Duster Turbo CVT | PruebameLa... Nave #184 | Reseña,https://www.youtube.com/watch?v=vWr-5fVzYNY,1,False,local
Bbyr5Wa81Lg,Jaime Gabaldoni,The new 2025 MAZDA CX-70 Can it be compared to the European luxury models?| Review | Jaime Gabaldoni,https://www.youtube.com/watch?v=Bbyr5Wa81Lg,4,False,local
FTgw6q07d9w,Autoboutique 1/4 de Milla,Volkswagen Polo 2020 | PruebameLa... Nave #112 | Reseña,https://www.youtube.com/watch?v=FTgw6q07d9w,1,False,local
z1RBvS2-nFQ,Jaime Gabaldoni,Ford Expedition 2025: ¿La mejor SUV familiar tamaño completo? | Prueba de Manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=z1RBvS2-nFQ,4,False,local
r4yJ_RMtkuE,Autoboutique 1/4 de Milla,"Precio elevado, ahorro justificado? Mitsubishi Outlander PHEV | PruebameLa... Nave #175 | Reseña",https://www.youtube.com/watch?v=r4yJ_RMtkuE,1,False,local
0quk2v4JBB4,Sergio Oliveira,Kia Stinger. Video con audio mejorado,https://www.youtube.com/watch?v=0quk2v4JBB4,1,False,local
QitI0_bBVRU,Jaime Gabaldoni,🚐🔋 Volkswagen ID. Buzz 2025: la combi eléctrica moderna ⚡🚀 | Prueba de manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=QitI0_bBVRU,4,False,local
O4VMhPiVT50,Jaime Gabaldoni,Toyota Tacoma i-Force Max TRD Pro 2025: Lista para el off-road | Prueba de manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=O4VMhPiVT50,4,False,local
sWmGLwDf71o,Autoboutique 1/4 de Milla,Peugeot 301 HDI 2020 ( diesel )| PruebameLa... Nave #139 | Reseña,https://www.youtube.com/watch?v=sWmGLwDf71o,1,False,local
ccYx3lkQtrE,Jaime Gabaldoni,Chevrolet Corvette C8 Z06 2023 | Prueba Completa [HD],https://www.youtube.com/watch?v=ccYx3lkQtrE,1,False,local
KG2WuiEhlK8,Autoboutique 1/4 de Milla,Infiniti QX50 | PruebameLa... Nave #46 | Reseña,https://www.youtube.com/watch?v=KG2WuiEhlK8,1,False,local
OiivNjk13t4,Autoboutique 1/4 de Milla,Jeep Grand Cherokee SRT8 | PruebameLa... Nave #109 | Reseña,https://www.youtube.com/watch?v=OiivNjk13t4,1,False,local
Ta_QwNdOTM0,Jaime Gabaldoni,Nissan Armada/Patrol Nismo 2026: La SUV deportiva INESPERADA de Nissan | Prueba de manejo,https://www.youtube.com/watch?v=Ta_QwNdOTM0,4,False,local
-FnDxyk1_cI,Jaime Gabaldoni,GMC Sierra EV AT4 2026: La pick-up eléctrica más capaz de GMC | Prueba de manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=-FnDxyk1_cI,4,False,local
NuVyp1iu9-g,Sergio Oliveira,Entrevista Miguel Barbeyto. ¿Cuándo habrá CX-30? ¿Por qué bajó de precio Mazda 3?,https://www.youtube.com/watch?v=NuVyp1iu9-g,1,False,local
yiuViWzrRmU,Sergio Oliveira,Nissan LEAF 2018 - Y lo puedes comprar por Internet,https://www.youtube.com/watch?v=yiuViWzrRmU,1,False,local
arDaOi3bbhA,Jaime Gabaldoni,"Audi RS 7 Performance 2025: potencia, lujo y tecnología | Prueba de manejo | Jaime Gabaldoni",https://www.youtube.com/watch?v=arDaOi3bbhA,4,False,local
t2HI1mdkrZk,Jaime Gabaldoni,Audi Q8 Sportback e-tron 2024 - 🔋 una de las mejores SUV eléctricas hoy ⚡️ | Reseña Jaime Gabaldoni,https://www.youtube.com/watch?v=t2HI1mdkrZk,1,False,local
r0wxQs3Wizw,Jaime Gabaldoni,BMW 330i xDrive 2025: ¿vale la pena? | Prueba de manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=r0wxQs3Wizw,4,False,local
S3NnUhMRK7c,Autoboutique 1/4 de Milla,Mitsubishi L200 2021 | PruebameLaNave #160 | Reseña,https://www.youtube.com/watch?v=S3NnUhMRK7c,1,False,local
HGMlyLVXiU0,Jaime Gabaldoni,Detalles del ultimo Volkswagen Passat | Prueba de Manejo [4K],https://www.youtube.com/watch?v=HGMlyLVXiU0,1,False,local
uqldlna5qnk,Autoboutique 1/4 de Milla,GMC Sierra Denali 2019 | PruebameLa... Nave #73 | Reseña,https://www.youtube.com/watch?v=uqldlna5qnk,1,False,local
paAQvYxjyn0,El Dios de los Autos,BYD ES LA MEJOR MARCA DEL MUNDO,https://www.youtube.com/watch?v=paAQvYxjyn0,2,False,local
lxul6hl3wgE,Sergio Oliveira,Volvo XC40. Prueba de que lo seguro y económico no tiene que ser aburrido.,https://www.youtube.com/watch?v=lxul6hl3wgE,1,False,local
fKrXVm0Dw88,Jaime Gabaldoni,Mercedes-AMG GT63 COUPÉ 2025 | Prueba de Manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=fKrXVm0Dw88,4,False,local
FUFANojXJJ4,Jaime Gabaldoni,RAM 2500 Heavy Duty Diesel 2025: ¿La pickup más poderosa? | Prueba de Manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=FUFANojXJJ4,4,False,local
0agsGb2JgMw,Sergio Oliveira,Audi Q8 S Line 2020. La Mejor en su clase.,https://www.youtube.com/watch?v=0agsGb2JgMw,1,False,local
I3uqdp9_2Cw,Jaime Gabaldoni,Volvo XC90 PHEV 2026: ¿El SUV híbrido premium más completo? | Prueba de Manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=I3uqdp9_2Cw,4,False,local
sEdkFx4BdqM,Jaime Gabaldoni,Kia Telluride 2027: ¿La mejor SUV familiar? con @Guaroaubinas | Prueba de manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=sEdkFx4BdqM,2,False,local
vaysVq7ZuDw,Sergio Oliveira,Ram 700 2021. El mejor valor/precio de su categoría.,https://www.youtube.com/watch?v=vaysVq7ZuDw,1,False,local
uKEpI2sTjjU,CarsLatino,Prueba de Manejo BMW 330iA Sport Line 2018 *CarsLatino*,https://www.youtube.com/watch?v=uKEpI2sTjjU,1,False,local
K-UDgvs1A0g,Sergio Oliveira,BMW 540i iA M Sport 2018. ¿El mejor sedán de su clase en el mundo?,https://www.youtube.com/watch?v=K-UDgvs1A0g,1,False,local
cersmp7KeWg,CarsLatino,Mi Nuevo Auto a Detalle!! (Version Corta) (Prueba de Manejo Mazda 3 S GT 2017) *CarsLatino*,https://www.youtube.com/watch?v=cersmp7KeWg,1,False,local
bo-1Fp-mots,Jaime Gabaldoni,El VOLVO XC60 T8 2024 BLACK EDITION | Prueba de Manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=bo-1Fp-mots,4,False,local
zd9Q6h0GCUU,CarsLatino,Prueba de Manejo Volkswagen Jetta (Bora) GLI 2007 y algo mas *CarsLatino*,https://www.youtube.com/watch?v=zd9Q6h0GCUU,1,False,local
o4gLVrL2tIA,Sergio Oliveira,"Hyundai Grand i10 sedán 2021. Le sobra precio, le falta seguridad.",https://www.youtube.com/watch?v=o4gLVrL2tIA,1,False,local
